username,repo_name,stars,repo_url
mrdoob,three.js,https://www.github.com/mrdoob/three.js,107000
pmndrs,react-three-fiber,https://www.github.com/pmndrs/react-three-fiber,29100
FreeCAD,FreeCAD,https://www.github.com/FreeCAD/FreeCAD,25100
BabylonJS,Babylon.js,https://www.github.com/BabylonJS/Babylon.js,24200
libgdx,libgdx,https://www.github.com/libgdx/libgdx,24100
ssloy,tinyrenderer,https://www.github.com/ssloy/tinyrenderer,22100
lettier,3d-game-shaders-for-beginners,https://www.github.com/lettier/3d-game-shaders-for-beginners,18900
aframevr,aframe,https://www.github.com/aframevr/aframe,17100
blender,blender,https://www.github.com/blender/blender,15500
DavidHDev,react-bits,https://www.github.com/DavidHDev/react-bits,15000
4ian,GDevelop,https://www.github.com/4ian/GDevelop,14800
CesiumGS,cesium,https://www.github.com/CesiumGS/cesium,13800
isl-org,Open3D,https://www.github.com/isl-org/Open3D,12400
MonoGame,MonoGame,https://www.github.com/MonoGame/MonoGame,12200
mapbox,mapbox-gl-js,https://www.github.com/mapbox/mapbox-gl-js,11700
metafizzy,zdog,https://www.github.com/metafizzy/zdog,10500
Tencent-Hunyuan,Hunyuan3D-2,https://www.github.com/Tencent-Hunyuan/Hunyuan3D-2,10400
nerfstudio-project,nerfstudio,https://www.github.com/nerfstudio-project/nerfstudio,10300
timzhang642,3D-Machine-Learning,https://www.github.com/timzhang642/3D-Machine-Learning,10000
microsoft,TRELLIS,https://www.github.com/microsoft/TRELLIS,9900
