username,repo_name,stars,repo_url
public-apis,public-apis,https://www.github.com/public-apis/public-apis,352000
neovim,neovim,https://www.github.com/neovim/neovim,90500
fastapi,fastapi,https://www.github.com/fastapi/fastapi,86500
hoppscotch,hoppscotch,https://www.github.com/hoppscotch/hoppscotch,72400
strapi,strapi,https://www.github.com/strapi/strapi,67100
ocornut,imgui,https://www.github.com/ocornut/imgui,66300
meilisearch,meilisearch,https://www.github.com/meilisearch/meilisearch,52000
QuivrHQ,quivr,https://www.github.com/QuivrHQ/quivr,38000
trpc,trpc,https://www.github.com/trpc/trpc,37600
ccxt,ccxt,https://www.github.com/ccxt/ccxt,37000
Kong,insomnia,https://www.github.com/Kong/insomnia,36600
slatedocs,slate,https://www.github.com/slatedocs/slate,36200
httpie,cli,https://www.github.com/httpie/cli,35900
mudler,LocalAI,https://www.github.com/mudler/LocalAI,33400
hasura,graphql-engine,https://www.github.com/hasura/graphql-engine,31600
directus,directus,https://www.github.com/directus/directus,31000
chatanywhere,GPT_API_free,https://www.github.com/chatanywhere/GPT_API_free,30500
Binaryify,NeteaseCloudMusicApi,https://www.github.com/Binaryify/NeteaseCloudMusicApi,30300
encode,django-rest-framework,https://www.github.com/encode/django-rest-framework,29200
YMFE,yapi,https://www.github.com/YMFE/yapi,27600
