username,repo_name,stars,repo_url
jwasham,coding-interview-university,https://www.github.com/jwasham/coding-interview-university,321000
TheAlgorithms,Python,https://www.github.com/TheAlgorithms/Python,202000
trekhleb,javascript-algorithms,https://www.github.com/trekhleb/javascript-algorithms,192000
CyC2018,CS-Notes,https://www.github.com/CyC2018/CS-Notes,181000
yangshun,tech-interview-handbook,https://www.github.com/yangshun/tech-interview-handbook,127000
krahets,hello-algo,https://www.github.com/krahets/hello-algo,114000
kdn251,interviews,https://www.github.com/kdn251/interviews,64200
TheAlgorithms,Java,https://www.github.com/TheAlgorithms/Java,61900
youngyangyang04,leetcode-master,https://www.github.com/youngyangyang04/leetcode-master,56800
azl397985856,leetcode,https://www.github.com/azl397985856/leetcode,55400
algorithm-visualizer,algorithm-visualizer,https://www.github.com/algorithm-visualizer/algorithm-visualizer,47400
huihut,interview,https://www.github.com/huihut/interview,36200
halfrost,LeetCode-Go,https://www.github.com/halfrost/LeetCode-Go,33600
TheAlgorithms,JavaScript,https://www.github.com/TheAlgorithms/JavaScript,33200
TheAlgorithms,C-Plus-Plus,https://www.github.com/TheAlgorithms/C-Plus-Plus,32000
donnemartin,interactive-coding-challenges,https://www.github.com/donnemartin/interactive-coding-challenges,30400
crossoverJie,JCSprout,https://www.github.com/crossoverJie/JCSprout,27100
AtsushiSakai,PythonRobotics,https://www.github.com/AtsushiSakai/PythonRobotics,25300
keon,algorithms,https://www.github.com/keon/algorithms,24600
mxgmn,WaveFunctionCollapse,https://www.github.com/mxgmn/WaveFunctionCollapse,24100
