username,repo_name,stars,repo_url
bregman-arie,devops-exercises,https://www.github.com/bregman-arie/devops-exercises,76800
ByteByteGoHq,system-design-101,https://www.github.com/ByteByteGoHq/system-design-101,73500
localstack,localstack,https://www.github.com/localstack/localstack,59400
serverless,serverless,https://www.github.com/serverless/serverless,46700
donnemartin,data-science-ipython-notebooks,https://www.github.com/donnemartin/data-science-ipython-notebooks,28300
danny-avila,LibreChat,https://www.github.com/danny-avila/LibreChat,27000
pulumi,pulumi,https://www.github.com/pulumi/pulumi,23300
getsops,sops,https://www.github.com/getsops/sops,18700
kubernetes-sigs,kubespray,https://www.github.com/kubernetes-sigs/kubespray,17200
milanm,DevOps-Roadmap,https://www.github.com/milanm/DevOps-Roadmap,16200
aws,aws-cli,https://www.github.com/aws/aws-cli,16200
ramitsurana,awesome-kubernetes,https://www.github.com/ramitsurana/awesome-kubernetes,15500
caprover,caprover,https://www.github.com/caprover/caprover,14100
GoogleCloudPlatform,terraformer,https://www.github.com/GoogleCloudPlatform/terraformer,13700
donnemartin,awesome-aws,https://www.github.com/donnemartin/awesome-aws,13300
aws,aws-cdk,https://www.github.com/aws/aws-cdk,12300
prowler-cloud,prowler,https://www.github.com/prowler-cloud/prowler,11800
infracost,infracost,https://www.github.com/infracost/infracost,11600
apereo,cas,https://www.github.com/apereo/cas,11100
budtmo,docker-android,https://www.github.com/budtmo/docker-android,11000
