username,repo_name,stars,repo_url
flutter,flutter,https://www.github.com/flutter/flutter,171000
Genymobile,scrcpy,https://www.github.com/Genymobile/scrcpy,124000
facebook,react-native,https://www.github.com/facebook/react-native,123000
justjavac,free-programming-books-zh_CN,https://www.github.com/justjavac/free-programming-books-zh_CN,114000
Hack-with-Github,Awesome-Hacking,https://www.github.com/Hack-with-Github/Awesome-Hacking,93900
Solido,awesome-flutter,https://www.github.com/Solido/awesome-flutter,56200
tldr-pages,tldr,https://www.github.com/tldr-pages/tldr,56100
wasabeef,awesome-android-ui,https://www.github.com/wasabeef/awesome-android-ui,52800
google,material-design-icons,https://www.github.com/google/material-design-icons,51700
appwrite,appwrite,https://www.github.com/appwrite/appwrite,51400
laurent22,joplin,https://www.github.com/laurent22/joplin,49800
square,okhttp,https://www.github.com/square/okhttp,46500
android,architecture-samples,https://www.github.com/android/architecture-samples,45100
skylot,jadx,https://www.github.com/skylot/jadx,44400
square,retrofit,https://www.github.com/square/retrofit,43600
termux,termux-app,https://www.github.com/termux/termux-app,42500
2dust,v2rayNG,https://www.github.com/2dust/v2rayNG,41900
expo,expo,https://www.github.com/expo/expo,41200
dcloudio,uni-app,https://www.github.com/dcloudio/uni-app,40900
KRTirtho,spotube,https://www.github.com/KRTirtho/spotube,40700
