username,repo_name,stars,repo_url
justjavac,free-programming-books-zh_CN,https://www.github.com/justjavac/free-programming-books-zh_CN,114000
angular,angular,https://www.github.com/angular/angular,98200
storybookjs,storybook,https://www.github.com/storybookjs/storybook,87000
leonardomso,33-js-concepts,https://www.github.com/leonardomso/33-js-concepts,65300
ionic-team,ionic-framework,https://www.github.com/ionic-team/ionic-framework,51800
prettier,prettier,https://www.github.com/prettier/prettier,50600
Asabeneh,30-Days-Of-JavaScript,https://www.github.com/Asabeneh/30-Days-Of-JavaScript,44600
SheetJS,sheetjs,https://www.github.com/SheetJS/sheetjs,35700
wailsapp,wails,https://www.github.com/wailsapp/wails,28700
paperless-ngx,paperless-ngx,https://www.github.com/paperless-ngx/paperless-ngx,28500
angular,angular-cli,https://www.github.com/angular/angular-cli,26900
nrwl,nx,https://www.github.com/nrwl/nx,26100
sudheerj,javascript-interview-questions,https://www.github.com/sudheerj/javascript-interview-questions,25800
NativeScript,NativeScript,https://www.github.com/NativeScript/NativeScript,24800
angular,components,https://www.github.com/angular/components,24700
goldbergyoni,javascript-testing-best-practices,https://www.github.com/goldbergyoni/javascript-testing-best-practices,24400
pubkey,rxdb,https://www.github.com/pubkey/rxdb,22400
jhipster,generator-jhipster,https://www.github.com/jhipster/generator-jhipster,21900
jasontaylordev,CleanArchitecture,https://www.github.com/jasontaylordev/CleanArchitecture,18400
teambit,bit,https://www.github.com/teambit/bit,18100
