username,repo_name,stars,repo_url
bregman-arie,devops-exercises,https://www.github.com/bregman-arie/devops-exercises,76800
ansible,ansible,https://www.github.com/ansible/ansible,65400
trailofbits,algo,https://www.github.com/trailofbits/algo,29500
MichaelCade,90DaysOfDevOps,https://www.github.com/MichaelCade/90DaysOfDevOps,28100
StreisandEffect,streisand,https://www.github.com/StreisandEffect/streisand,23400
kubernetes-sigs,kubespray,https://www.github.com/kubernetes-sigs/kubespray,17200
ansible,awx,https://www.github.com/ansible/awx,14700
semaphoreui,semaphore,https://www.github.com/semaphoreui/semaphore,12000
easzlab,kubeasz,https://www.github.com/easzlab/kubeasz,11000
netbootxyz,netboot.xyz,https://www.github.com/netbootxyz/netboot.xyz,10400
geerlingguy,ansible-for-devops,https://www.github.com/geerlingguy/ansible-for-devops,9100
Tikam02,DevOps-Guide,https://www.github.com/Tikam02/DevOps-Guide,8700
khuedoan,homelab,https://www.github.com/khuedoan/homelab,8700
Orange-Cyberdefense,GOAD,https://www.github.com/Orange-Cyberdefense/GOAD,6500
geerlingguy,mac-dev-playbook,https://www.github.com/geerlingguy/mac-dev-playbook,6500
rundeck,rundeck,https://www.github.com/rundeck/rundeck,5800
ChristianLempa,boilerplates,https://www.github.com/ChristianLempa/boilerplates,5700
KubeOperator,KubeOperator,https://www.github.com/KubeOperator/KubeOperator,5000
clong,DetectionLab,https://www.github.com/clong/DetectionLab,4800
dev-sec,ansible-collection-hardening,https://www.github.com/dev-sec/ansible-collection-hardening,4500
