username,repo_name,stars,repo_url
arendst,Tasmota,https://www.github.com/arendst/Tasmota,23400
MarlinFirmware,Marlin,https://www.github.com/MarlinFirmware/Marlin,16800
tinygo-org,tinygo,https://www.github.com/tinygo-org/tinygo,16400
espressif,arduino-esp32,https://www.github.com/espressif/arduino-esp32,15000
arduino,Arduino,https://www.github.com/arduino/Arduino,14400
SpacehuhnTech,esp8266_deauther,https://www.github.com/SpacehuhnTech/esp8266_deauther,14100
rwaldron,johnny-five,https://www.github.com/rwaldron/johnny-five,13400
gurugio,lowlevelprogramming-university,https://www.github.com/gurugio/lowlevelprogramming-university,12100
hybridgroup,gobot,https://www.github.com/hybridgroup/gobot,9200
platformio,platformio-core,https://www.github.com/platformio/platformio-core,8400
justcallmekoko,ESP32Marauder,https://www.github.com/justcallmekoko/ESP32Marauder,7800
bblanchon,ArduinoJson,https://www.github.com/bblanchon/ArduinoJson,7000
tzapu,WiFiManager,https://www.github.com/tzapu/WiFiManager,6900
ggerganov,ggwave,https://www.github.com/ggerganov/ggwave,6800
olikraus,u8g2,https://www.github.com/olikraus/u8g2,5700
Serial-Studio,Serial-Studio,https://www.github.com/Serial-Studio/Serial-Studio,5600
omriharel,deej,https://www.github.com/omriharel/deej,5100
ClemensElflein,OpenMower,https://www.github.com/ClemensElflein/OpenMower,4900
Arduino-IRremote,Arduino-IRremote,https://www.github.com/Arduino-IRremote/Arduino-IRremote,4700
arduino,arduino-cli,https://www.github.com/arduino/arduino-cli,4600
