username,repo_name,stars,repo_url
sindresorhus,awesome,https://www.github.com/sindresorhus/awesome,371000
vinta,awesome-python,https://www.github.com/vinta/awesome-python,247000
awesome-selfhosted,awesome-selfhosted,https://www.github.com/awesome-selfhosted/awesome-selfhosted,233000
trimstray,the-book-of-secret-knowledge,https://www.github.com/trimstray/the-book-of-secret-knowledge,174000
avelino,awesome-go,https://www.github.com/avelino/awesome-go,146000
521xueweihan,HelloGitHub,https://www.github.com/521xueweihan/HelloGitHub,119000
papers-we-love,papers-we-love,https://www.github.com/papers-we-love/papers-we-love,94000
Hack-with-Github,Awesome-Hacking,https://www.github.com/Hack-with-Github/Awesome-Hacking,93900
jaywcjlove,awesome-mac,https://www.github.com/jaywcjlove/awesome-mac,84000
DopplerHQ,awesome-interview-questions,https://www.github.com/DopplerHQ/awesome-interview-questions,75500
MunGell,awesome-for-beginners,https://www.github.com/MunGell/awesome-for-beginners,74800
enaqx,awesome-react,https://www.github.com/enaqx/awesome-react,68600
fffaraz,awesome-cpp,https://www.github.com/fffaraz/awesome-cpp,64400
binhnguyennus,awesome-scalability,https://www.github.com/binhnguyennus/awesome-scalability,62700
sindresorhus,awesome-nodejs,https://www.github.com/sindresorhus/awesome-nodejs,61400
prakhar1989,awesome-courses,https://www.github.com/prakhar1989/awesome-courses,61100
Solido,awesome-flutter,https://www.github.com/Solido/awesome-flutter,56200
wasabeef,awesome-android-ui,https://www.github.com/wasabeef/awesome-android-ui,52800
tiimgreen,github-cheat-sheet,https://www.github.com/tiimgreen/github-cheat-sheet,51200
rust-unofficial,awesome-rust,https://www.github.com/rust-unofficial/awesome-rust,51000
