username,repo_name,stars,repo_url
microsoft,generative-ai-for-beginners,https://www.github.com/microsoft/generative-ai-for-beginners,85400
bregman-arie,devops-exercises,https://www.github.com/bregman-arie/devops-exercises,76800
danny-avila,LibreChat,https://www.github.com/danny-avila/LibreChat,27000
pulumi,pulumi,https://www.github.com/pulumi/pulumi,23300
getsops,sops,https://www.github.com/getsops/sops,18700
milanm,DevOps-Roadmap,https://www.github.com/milanm/DevOps-Roadmap,16200
ramitsurana,awesome-kubernetes,https://www.github.com/ramitsurana/awesome-kubernetes,15500
Azure,azure-quickstart-templates,https://www.github.com/Azure/azure-quickstart-templates,14400
caprover,caprover,https://www.github.com/caprover/caprover,14100
prowler-cloud,prowler,https://www.github.com/prowler-cloud/prowler,11800
infracost,infracost,https://www.github.com/infracost/infracost,11600
budtmo,docker-android,https://www.github.com/budtmo/docker-android,11000
google,go-cloud,https://www.github.com/google/go-cloud,9700
microsoft,computervision-recipes,https://www.github.com/microsoft/computervision-recipes,9700
Netflix,metaflow,https://www.github.com/Netflix/metaflow,8900
YSGStudyHards,DotNetGuide,https://www.github.com/YSGStudyHards/DotNetGuide,8600
microsoft,azuredatastudio,https://www.github.com/microsoft/azuredatastudio,7700
bridgecrewio,checkov,https://www.github.com/bridgecrewio/checkov,7600
midwayjs,midway,https://www.github.com/midwayjs/midway,7600
thangchung,clean-code-dotnet,https://www.github.com/thangchung/clean-code-dotnet,7400
