username,repo_name,stars,repo_url
babel,babel,https://www.github.com/babel/babel,43600
swc-project,swc,https://www.github.com/swc-project/swc,32400
nylas,nylas-mail,https://www.github.com/nylas/nylas-mail,24800
electron-react-boilerplate,electron-react-boilerplate,https://www.github.com/electron-react-boilerplate/electron-react-boilerplate,23900
SimulatedGREG,electron-vue,https://www.github.com/SimulatedGREG/electron-vue,15500
grab,front-end-guide,https://www.github.com/grab/front-end-guide,15200
jamiebuilds,babel-handbook,https://www.github.com/jamiebuilds/babel-handbook,12100
ast-grep,ast-grep,https://www.github.com/ast-grep/ast-grep,9000
developit,htm,https://www.github.com/developit/htm,8900
grommet,grommet,https://www.github.com/grommet/grommet,8400
ben-rogerson,twin.macro,https://www.github.com/ben-rogerson/twin.macro,8000
fkling,astexplorer,https://www.github.com/fkling/astexplorer,6400
angular-fullstack,generator-angular-fullstack,https://www.github.com/angular-fullstack/generator-angular-fullstack,6100
thx,gogocode,https://www.github.com/thx/gogocode,6000
documentationjs,documentation,https://www.github.com/documentationjs/documentation,5800
insin,nwb,https://www.github.com/insin/nwb,5600
thinkjs,thinkjs,https://www.github.com/thinkjs/thinkjs,5300
egoist,poi,https://www.github.com/egoist/poi,5200
duxianwei520,react,https://www.github.com/duxianwei520/react,5200
babel,babel-loader,https://www.github.com/babel/babel-loader,4900
