username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,https://www.github.com/jlevy/the-art-of-command-line,157000
nvm-sh,nvm,https://www.github.com/nvm-sh/nvm,85400
junegunn,fzf,https://www.github.com/junegunn/fzf,71200
starship,starship,https://www.github.com/starship/starship,49400
google,zx,https://www.github.com/google/zx,44300
acmesh-official,acme.sh,https://www.github.com/acmesh-official/acme.sh,43100
LeCoupa,awesome-cheatsheets,https://www.github.com/LeCoupa/awesome-cheatsheets,42800
dylanaraps,pure-bash-bible,https://www.github.com/dylanaraps/pure-bash-bible,39300
koalaman,shellcheck,https://www.github.com/koalaman/shellcheck,37600
alebcay,awesome-shell,https://www.github.com/alebcay/awesome-shell,34500
jaywcjlove,linux-command,https://www.github.com/jaywcjlove/linux-command,33500
mathiasbynens,dotfiles,https://www.github.com/mathiasbynens/dotfiles,30900
ajeetdsouza,zoxide,https://www.github.com/ajeetdsouza/zoxide,27300
kingToolbox,WindTerm,https://www.github.com/kingToolbox/WindTerm,26800
withfig,autocomplete,https://www.github.com/withfig/autocomplete,24900
atuinsh,atuin,https://www.github.com/atuinsh/atuin,24600
warpdotdev,Warp,https://www.github.com/warpdotdev/Warp,23800
asdf-vm,asdf,https://www.github.com/asdf-vm/asdf,23800
dylanaraps,neofetch,https://www.github.com/dylanaraps/neofetch,23000
charmbracelet,gum,https://www.github.com/charmbracelet/gum,20100
