username,repo_name,stars,repo_url
bitcoin,bitcoin,https://www.github.com/bitcoin/bitcoin,84300
freqtrade,freqtrade,https://www.github.com/freqtrade/freqtrade,39900
ccxt,ccxt,https://www.github.com/ccxt/ccxt,37000
bitcoinbook,bitcoinbook,https://www.github.com/bitcoinbook/bitcoinbook,24400
HelloZeroNet,ZeroNet,https://www.github.com/HelloZeroNet/ZeroNet,18600
solana-labs,solana,https://www.github.com/solana-labs/solana,14200
bbfamily,abu,https://www.github.com/bbfamily/abu,14000
hummingbot,hummingbot,https://www.github.com/hummingbot/hummingbot,13000
UFund-Me,Qbot,https://www.github.com/UFund-Me/Qbot,11900
askmike,gekko,https://www.github.com/askmike/gekko,10100
getumbrel,umbrel,https://www.github.com/getumbrel/umbrel,9000
dvf,blockchain,https://www.github.com/dvf/blockchain,8000
lightningnetwork,lnd,https://www.github.com/lightningnetwork/lnd,8000
spesmilo,electrum,https://www.github.com/spesmilo/electrum,7900
lbryio,lbry-sdk,https://www.github.com/lbryio/lbry-sdk,7200
yeasy,blockchain_guide,https://www.github.com/yeasy/blockchain_guide,7000
btcpayserver,btcpayserver,https://www.github.com/btcpayserver/btcpayserver,6800
jesse-ai,jesse,https://www.github.com/jesse-ai/jesse,6500
btcsuite,btcd,https://www.github.com/btcsuite/btcd,6500
bitcoinjs,bitcoinjs-lib,https://www.github.com/bitcoinjs/bitcoinjs-lib,5900
