username,repo_name,stars,repo_url
ccxt,ccxt,https://www.github.com/ccxt/ccxt,37000
feder-cr,Jobs_Applier_AI_Agent_AIHawk,https://www.github.com/feder-cr/Jobs_Applier_AI_Agent_AIHawk,28300
python-telegram-bot,python-telegram-bot,https://www.github.com/python-telegram-bot/python-telegram-bot,27700
discordjs,discord.js,https://www.github.com/discordjs/discord.js,26100
wechaty,wechaty,https://www.github.com/wechaty/wechaty,21700
RasaHQ,rasa,https://www.github.com/RasaHQ/rasa,20300
InstaPy,InstaPy,https://www.github.com/InstaPy/InstaPy,17300
pedroslopez,whatsapp-web.js,https://www.github.com/pedroslopez/whatsapp-web.js,17100
hubotio,hubot,https://www.github.com/hubotio/hubot,16800
leon-ai,leon,https://www.github.com/leon-ai/leon,16400
lss233,kirara-ai,https://www.github.com/lss233/kirara-ai,15500
Rapptz,discord.py,https://www.github.com/Rapptz/discord.py,15500
tgbot-collection,YYeTsBot,https://www.github.com/tgbot-collection/YYeTsBot,15400
gunthercox,ChatterBot,https://www.github.com/gunthercox/ChatterBot,14400
hummingbot,hummingbot,https://www.github.com/hummingbot/hummingbot,13000
RockChinQ,LangBot,https://www.github.com/RockChinQ/LangBot,12100
howdyai,botkit,https://www.github.com/howdyai/botkit,11600
Mrs4s,go-cqhttp,https://www.github.com/Mrs4s/go-cqhttp,10600
sfyc23,EverydayWechat,https://www.github.com/sfyc23/EverydayWechat,10200
yagop,node-telegram-bot-api,https://www.github.com/yagop/node-telegram-bot-api,8800
