username,repo_name,stars,repo_url
practical-tutorials,project-based-learning,https://www.github.com/practical-tutorials/project-based-learning,232000
CyC2018,CS-Notes,https://www.github.com/CyC2018/CS-Notes,181000
fffaraz,awesome-cpp,https://www.github.com/fffaraz/awesome-cpp,64400
youngyangyang04,leetcode-master,https://www.github.com/youngyangyang04/leetcode-master,56800
azl397985856,leetcode,https://www.github.com/azl397985856/leetcode,55400
WerWolv,ImHex,https://www.github.com/WerWolv/ImHex,49500
Light-City,CPlusPlusThings,https://www.github.com/Light-City/CPlusPlusThings,41400
ClickHouse,ClickHouse,https://www.github.com/ClickHouse/ClickHouse,41300
huihut,interview,https://www.github.com/huihut/interview,36200
doocs,leetcode,https://www.github.com/doocs/leetcode,34200
carbon-language,carbon-lang,https://www.github.com/carbon-language/carbon-lang,33000
CMU-Perceptual-Computing-Lab,openpose,https://www.github.com/CMU-Perceptual-Computing-Lab/openpose,32700
aseprite,aseprite,https://www.github.com/aseprite/aseprite,32600
TheAlgorithms,C-Plus-Plus,https://www.github.com/TheAlgorithms/C-Plus-Plus,32000
microsoft,calculator,https://www.github.com/microsoft/calculator,30400
dragonflydb,dragonfly,https://www.github.com/dragonflydb/dragonfly,28300
LizardByte,Sunshine,https://www.github.com/LizardByte/Sunshine,26700
gabime,spdlog,https://www.github.com/gabime/spdlog,26500
microsoft,vcpkg,https://www.github.com/microsoft/vcpkg,25100
changkun,modern-cpp-tutorial,https://www.github.com/changkun/modern-cpp-tutorial,24900
