username,repo_name,stars,repo_url
Genymobile,scrcpy,https://www.github.com/Genymobile/scrcpy,124000
neovim,neovim,https://www.github.com/neovim/neovim,90500
obsproject,obs-studio,https://www.github.com/obsproject/obs-studio,65099
fffaraz,awesome-cpp,https://www.github.com/fffaraz/awesome-cpp,64400
git,git,https://www.github.com/git/git,55400
FFmpeg,FFmpeg,https://www.github.com/FFmpeg/FFmpeg,50800
serhii-londar,open-source-mac-os-apps,https://www.github.com/serhii-londar/open-source-mac-os-apps,44300
vim,vim,https://www.github.com/vim/vim,38400
curl,curl,https://www.github.com/curl/curl,38200
huihut,interview,https://www.github.com/huihut/interview,36200
mpv-player,mpv,https://www.github.com/mpv-player/mpv,31100
kovidgoyal,kitty,https://www.github.com/kovidgoyal/kitty,27800
ossrs,srs,https://www.github.com/ossrs/srs,27200
raysan5,raylib,https://www.github.com/raysan5/raylib,26900
ggreer,the_silver_searcher,https://www.github.com/ggreer/the_silver_searcher,26700
microsoft,vcpkg,https://www.github.com/microsoft/vcpkg,25100
google,flatbuffers,https://www.github.com/google/flatbuffers,24400
forthespada,CS-Books,https://www.github.com/forthespada/CS-Books,22900
hashcat,hashcat,https://www.github.com/hashcat/hashcat,22900
ruby,ruby,https://www.github.com/ruby/ruby,22700
