username,repo_name,stars,repo_url
jaywcjlove,linux-command,https://www.github.com/jaywcjlove/linux-command,33500
refined-github,refined-github,https://www.github.com/refined-github/refined-github,28500
openai-translator,openai-translator,https://www.github.com/openai-translator/openai-translator,24500
darkreader,darkreader,https://www.github.com/darkreader/darkreader,20800
dailydotdev,daily,https://www.github.com/dailydotdev/daily,19500
AutomaApp,automa,https://www.github.com/AutomaApp/automa,18700
gildas-lormeau,SingleFile,https://www.github.com/gildas-lormeau/SingleFile,18500
immersive-translate,immersive-translate,https://www.github.com/immersive-translate/immersive-translate,15800
checkly,headless-recorder,https://www.github.com/checkly/headless-recorder,15100
alyssaxuu,screenity,https://www.github.com/alyssaxuu/screenity,14800
unbug,codelf,https://www.github.com/unbug/codelf,14200
xifangczy,cat-catch,https://www.github.com/xifangczy/cat-catch,14000
wong2,chatgpt-google-extension,https://www.github.com/wong2/chatgpt-google-extension,13200
Anarios,return-youtube-dislike,https://www.github.com/Anarios/return-youtube-dislike,13100
crimx,ext-saladict,https://www.github.com/crimx/ext-saladict,12600
PlasmoHQ,plasmo,https://www.github.com/PlasmoHQ/plasmo,11900
listen1,listen1_chrome_extension,https://www.github.com/listen1/listen1_chrome_extension,11700
ajayyy,SponsorBlock,https://www.github.com/ajayyy/SponsorBlock,11600
ChatGPTBox-dev,chatGPTBox,https://www.github.com/ChatGPTBox-dev/chatGPTBox,10600
chathub-dev,chathub,https://www.github.com/chathub-dev/chathub,10300
