username,repo_name,stars,repo_url
electron,electron,https://www.github.com/electron/electron,117000
puppeteer,puppeteer,https://www.github.com/puppeteer/puppeteer,91000
microsoft,playwright,https://www.github.com/microsoft/playwright,73700
FiloSottile,mkcert,https://www.github.com/FiloSottile/mkcert,54000
jaywcjlove,linux-command,https://www.github.com/jaywcjlove/linux-command,33500
feder-cr,Jobs_Applier_AI_Agent_AIHawk,https://www.github.com/feder-cr/Jobs_Applier_AI_Agent_AIHawk,28300
ovity,octotree,https://www.github.com/ovity/octotree,23000
segment-boneyard,nightmare,https://www.github.com/segment-boneyard/nightmare,19700
gildas-lormeau,SingleFile,https://www.github.com/gildas-lormeau/SingleFile,18500
GoogleChrome,chrome-extensions-samples,https://www.github.com/GoogleChrome/chrome-extensions-samples,16500
checkly,headless-recorder,https://www.github.com/checkly/headless-recorder,15100
xifangczy,cat-catch,https://www.github.com/xifangczy/cat-catch,14000
google,WebFundamentals,https://www.github.com/google/WebFundamentals,13900
schickling,chromeless,https://www.github.com/schickling/chromeless,13200
MetaMask,metamask-extension,https://www.github.com/MetaMask/metamask-extension,12600
crimx,ext-saladict,https://www.github.com/crimx/ext-saladict,12600
moonD4rk,HackBrowserData,https://www.github.com/moonD4rk/HackBrowserData,12500
casesandberg,react-color,https://www.github.com/casesandberg/react-color,12200
chromedp,chromedp,https://www.github.com/chromedp/chromedp,11900
ajayyy,SponsorBlock,https://www.github.com/ajayyy/SponsorBlock,11600
