username,repo_name,stars,repo_url
realm,SwiftLint,https://www.github.com/realm/SwiftLint,19000
facebook,infer,https://www.github.com/facebook/infer,15300
analysis-tools-dev,static-analysis,https://www.github.com/analysis-tools-dev/static-analysis,13900
federico-busato,Modern-CPP-Programming,https://www.github.com/federico-busato/Modern-CPP-Programming,13400
Kristories,awesome-guidelines,https://www.github.com/Kristories/awesome-guidelines,10100
super-linter,super-linter,https://www.github.com/super-linter/super-linter,9900
SonarSource,sonarqube,https://www.github.com/SonarSource/sonarqube,9700
checkstyle,checkstyle,https://www.github.com/checkstyle/checkstyle,8600
reviewdog,reviewdog,https://www.github.com/reviewdog/reviewdog,8500
facebook,pyre-check,https://www.github.com/facebook/pyre-check,7000
detekt,detekt,https://www.github.com/detekt/detekt,6500
trekhleb,state-of-the-art-shitcode,https://www.github.com/trekhleb/state-of-the-art-shitcode,6000
import-js,eslint-plugin-import,https://www.github.com/import-js/eslint-plugin-import,5800
pylint-dev,pylint,https://www.github.com/pylint-dev/pylint,5500
pmd,pmd,https://www.github.com/pmd/pmd,5100
kucherenko,jscpd,https://www.github.com/kucherenko/jscpd,4900
simplecov-ruby,simplecov,https://www.github.com/simplecov-ruby/simplecov,4800
phpro,grumphp,https://www.github.com/phpro/grumphp,4200
crate-ci,typos,https://www.github.com/crate-ci/typos,3200
htmlhint,HTMLHint,https://www.github.com/htmlhint/HTMLHint,3200
