username,repo_name,stars,repo_url
ohmyzsh,ohmyzsh,https://www.github.com/ohmyzsh/ohmyzsh,179000
n8n-io,n8n,https://www.github.com/n8n-io/n8n,110000
junegunn,fzf,https://www.github.com/junegunn/fzf,71200
sherlock-project,sherlock,https://www.github.com/sherlock-project/sherlock,66200
jesseduffield,lazygit,https://www.github.com/jesseduffield/lazygit,61200
All-Hands-AI,OpenHands,https://www.github.com/All-Hands-AI/OpenHands,58900
BurntSushi,ripgrep,https://www.github.com/BurntSushi/ripgrep,53200
sharkdp,bat,https://www.github.com/sharkdp/bat,53100
wagoodman,dive,https://www.github.com/wagoodman/dive,51200
google,zx,https://www.github.com/google/zx,44300
ultralytics,ultralytics,https://www.github.com/ultralytics/ultralytics,42200
spf13,cobra,https://www.github.com/spf13/cobra,40800
chubin,cheat.sh,https://www.github.com/chubin/cheat.sh,39500
cli,cli,https://www.github.com/cli/cli,39500
sharkdp,fd,https://www.github.com/sharkdp/fd,38400
httpie,cli,https://www.github.com/httpie/cli,35900
Aider-AI,aider,https://www.github.com/Aider-AI/aider,34600
alebcay,awesome-shell,https://www.github.com/alebcay/awesome-shell,34500
charmbracelet,bubbletea,https://www.github.com/charmbracelet/bubbletea,32400
ibraheemdev,modern-unix,https://www.github.com/ibraheemdev/modern-unix,32000
