username,repo_name,stars,repo_url
vercel,next.js,https://www.github.com/vercel/next.js,133000
rust-lang,rust,https://www.github.com/rust-lang/rust,104000
sveltejs,svelte,https://www.github.com/sveltejs/svelte,83100
webpack,webpack,https://www.github.com/webpack/webpack,65400
FuelLabs,sway,https://www.github.com/FuelLabs/sway,62200
gatsbyjs,gatsby,https://www.github.com/gatsbyjs/gatsby,55900
JetBrains,kotlin,https://www.github.com/JetBrains/kotlin,50800
parcel-bundler,parcel,https://www.github.com/parcel-bundler/parcel,43900
babel,babel,https://www.github.com/babel/babel,43600
typst,typst,https://www.github.com/typst/typst,42400
ziglang,zig,https://www.github.com/ziglang/zig,39600
evanw,esbuild,https://www.github.com/evanw/esbuild,39000
vlang,v,https://www.github.com/vlang/v,36500
markedjs,marked,https://www.github.com/markedjs/marked,34900
carbon-language,carbon-lang,https://www.github.com/carbon-language/carbon-lang,33000
swc-project,swc,https://www.github.com/swc-project/swc,32400
vercel,pkg,https://www.github.com/vercel/pkg,24400
v8,v8,https://www.github.com/v8/v8,24200
oracle,graal,https://www.github.com/oracle/graal,20900
RustPython,RustPython,https://www.github.com/RustPython/RustPython,20200
