username,repo_name,stars,repo_url
localstack,localstack,https://www.github.com/localstack/localstack,59400
harness,harness,https://www.github.com/harness/harness,32900
jenkinsci,jenkins,https://www.github.com/jenkinsci/jenkins,24100
milanm,DevOps-Roadmap,https://www.github.com/milanm/DevOps-Roadmap,16200
auchenberg,volkswagen,https://www.github.com/auchenberg/volkswagen,15100
dagger,dagger,https://www.github.com/dagger/dagger,14000
openshift,origin,https://www.github.com/openshift/origin,8600
concourse,concourse,https://www.github.com/concourse/concourse,7600
gocd,gocd,https://www.github.com/gocd/gocd,7200
Flagsmith,flagsmith,https://www.github.com/Flagsmith/flagsmith,5700
buildbot,buildbot,https://www.github.com/buildbot/buildbot,5400
gaia-pipeline,gaia,https://www.github.com/gaia-pipeline/gaia,5200
TheLartians,ModernCppStarter,https://www.github.com/TheLartians/ModernCppStarter,4900
ovh,cds,https://www.github.com/ovh/cds,4700
jenkins-x,jx,https://www.github.com/jenkins-x/jx,4600
Strider-CD,strider,https://www.github.com/Strider-CD/strider,4600
werf,werf,https://www.github.com/werf/werf,4500
JamesIves,github-pages-deploy-action,https://www.github.com/JamesIves/github-pages-deploy-action,4400
SamKirkland,FTP-Deploy-Action,https://www.github.com/SamKirkland/FTP-Deploy-Action,4400
iterative,cml,https://www.github.com/iterative/cml,4100
