username,repo_name,stars,repo_url
bitcoin,bitcoin,https://www.github.com/bitcoin/bitcoin,84300
freqtrade,freqtrade,https://www.github.com/freqtrade/freqtrade,39900
ccxt,ccxt,https://www.github.com/ccxt/ccxt,37000
dogecoin,dogecoin,https://www.github.com/dogecoin/dogecoin,15000
hummingbot,hummingbot,https://www.github.com/hummingbot/hummingbot,13000
monero-project,monero,https://www.github.com/monero-project/monero,9600
xmrig,xmrig,https://www.github.com/xmrig/xmrig,9300
StockSharp,StockSharp,https://www.github.com/StockSharp/StockSharp,8200
dvf,blockchain,https://www.github.com/dvf/blockchain,8000
lightningnetwork,lnd,https://www.github.com/lightningnetwork/lnd,8000
firmai,financial-machine-learning,https://www.github.com/firmai/financial-machine-learning,8000
kroma-network,tachyon,https://www.github.com/kroma-network/tachyon,7800
lbryio,lbry-sdk,https://www.github.com/lbryio/lbry-sdk,7200
sammchardy,python-binance,https://www.github.com/sammchardy/python-binance,6700
cosmos,cosmos-sdk,https://www.github.com/cosmos/cosmos-sdk,6600
jesse-ai,jesse,https://www.github.com/jesse-ai/jesse,6500
tendermint,tendermint,https://www.github.com/tendermint/tendermint,5800
polakowo,vectorbt,https://www.github.com/polakowo/vectorbt,5400
chrisleekr,binance-trading-bot,https://www.github.com/chrisleekr/binance-trading-bot,5300
sea-protocol,seaprotocol,https://www.github.com/sea-protocol/seaprotocol,5100
