username,repo_name,stars,repo_url
crystal-lang,crystal,https://www.github.com/crystal-lang/crystal,19800
kemalcr,kemal,https://www.github.com/kemalcr/kemal,3700
veelenga,awesome-crystal,https://www.github.com/veelenga/awesome-crystal,3500
luckyframework,lucky,https://www.github.com/luckyframework/lucky,2600
amberframework,amber,https://www.github.com/amberframework/amber,2600
vitobotta,hetzner-k3s,https://www.github.com/vitobotta/hetzner-k3s,2500
getmango,Mango,https://www.github.com/getmango/Mango,1800
ffwff,lilith,https://www.github.com/ffwff/lilith,1200
drujensen,fib,https://www.github.com/drujensen/fib,897
hanabi1224,Programming-Language-Benchmarks,https://www.github.com/hanabi1224/Programming-Language-Benchmarks,723
owasp-noir,noir,https://www.github.com/owasp-noir/noir,711
amethyst-framework,amethyst,https://www.github.com/amethyst-framework/amethyst,650
askn,crystal-by-example,https://www.github.com/askn/crystal-by-example,555
crystal-ameba,ameba,https://www.github.com/crystal-ameba/ameba,534
crystal-community,icr,https://www.github.com/crystal-community/icr,507
elbywan,crystalline,https://www.github.com/elbywan/crystalline,482
will,crystal-pg,https://www.github.com/will/crystal-pg,467
martenframework,marten,https://www.github.com/martenframework/marten,443
imdrasil,jennifer.cr,https://www.github.com/imdrasil/jennifer.cr,424
vim-crystal,vim-crystal,https://www.github.com/vim-crystal/vim-crystal,423
